n time
2 0.0461538
12 0.5
22 0.9
32 1.3
42 1.18182
52 1.05556
62 1.26667
72 1.61538
82 1.3125
92 1.53333
102 1.47368
112 1.36842
122 1.57895
132 1.7
142 1.61905
152 1.48
162 1.52
172 1.44828
182 1.64865
192 1.54839
202 1.53125
212 1.54286
222 1.67647
232 1.47222
242 1.56098
252 1.53191
262 1.57143
272 1.63415
282 1.47826
292 1.55319
302 1.56863
312 1.67391
322 1.51852
332 1.31579
342 1.64286
352 1.65385
362 1.51613
372 1.58209
382 1.68966
392 1.63158
402 1.62295
412 1.625
422 1.7541
432 1.23967
442 1.74138
452 2.15517
462 1.86792
472 1.94231
482 2
492 1.66176
502 1.75325
512 1.72727
522 1.77778
532 1.68182
542 1.80952
552 1.91935
562 1.8871
572 2.11864
582 1.78571
592 1.82353
602 1.83824
612 1.85294
622 1.91176
632 1.61446
642 1.57471
652 1.77381
662 1.66667
672 1.63636
682 1.58416
692 1.56557
702 1.7037
712 1.73196
722 1.87097
732 1.67647
742 1.83871
752 1.71028
762 1.79
772 1.72
782 1.78846
792 1.68571
802 1.89899
812 1.7619
822 1.78846
832 1.78846
842 1.78505
852 1.70536
862 1.75926
872 1.67544
882 1.80734
892 1.8018
902 1.792
912 1.71429
922 1.68033
932 1.74167
942 1.77311
952 1.77119
962 1.66142
972 1.78226
982 1.76613
992 1.8547
1002 1.72581
1012 1.74615
1022 1.88793
1032 1.71094
1042 1.62687
1052 1.72263
1062 1.82836
1072 1.82482
1082 1.87023
1092 1.77273
1102 1.81746
1112 2.08209
1122 1.80741
1132 1.78472
1142 1.84496
1152 1.92857
1162 1.78472
1172 1.68125
1182 1.7483
1192 1.76316
1202 1.8
1212 1.85517
1222 1.80921
1232 1.70701
1242 1.79739
1252 1.88
1262 1.97945
1272 1.8662
1282 1.66049
1292 1.63125
1302 1.79874
1312 1.76543
1322 1.70122
1332 1.77273
1342 1.89868
1352 1.54082
1362 2.01274
1372 1.80625
1382 1.90728
1392 1.83951
1402 1.83636
1412 1.81183
1422 1.59067
1432 1.83133
1442 1.78689
1452 1.80226
1462 1.78421
1472 1.84884
1482 1.75135
1492 1.81081
1502 1.785
1512 1.81283
1522 1.84293
1532 1.78866
1542 2.09605
1552 2.05
1562 1.82955
1572 1.91429
1582 1.91329
1592 1.89326
1602 1.8306
1612 2.14646
1622 2.02747
1632 1.94944
1642 1.85644
1652 1.78095
1662 1.8806
1672 1.98469
1682 1.90155
1692 1.95567
1702 1.89691
1712 2.2356
1722 1.92513
1732 1.93122
1742 1.96791
1752 1.90104
1762 1.82439
1772 1.70721
1782 1.46124
1792 1.84314
1802 2.06468
1812 1.94416
1822 2.01015
1832 1.90594
1842 2.20202
1852 1.86473
1862 1.955
1872 1.91748
1882 1.95567
1892 1.67089
1902 1.90291
1912 1.84977
1922 1.92453
1932 1.92381
1942 1.84375
1952 1.88426
1962 1.83562
1972 1.90741
1982 1.875
1992 2.08219
2002 1.95392
2012 1.68421
2022 1.94884
2032 1.837
2042 1.89778
2052 1.87391
2062 1.9292
2072 1.95067
2082 1.97297
2092 1.58633
2102 1.92411
2112 1.9469
2122 1.63333
2132 2.13919
2142 1.92017
2152 1.72075
2162 1.93506
2172 1.90254
2182 1.92437
2192 1.92469
2202 1.91051
2212 1.85448
2222 1.89919
2232 1.91429
2242 1.925
2252 1.96694
2262 1.93852
2272 1.93878
2282 1.94309
2292 2.01639
2302 1.93852
2312 1.89147
2322 1.9375
2332 2.04297
2342 1.94862
2352 1.85824
2362 1.90272
2372 2
2382 1.98819
2392 1.97255
2402 1.86296
2412 1.67
2422 1.94253
2432 1.89734
2442 1.94545
2452 1.8013
2462 1.96255
2472 1.93382
2482 1.94096
2492 1.94403
2502 1.88489
2512 1.92647
2522 2.13235
2532 1.93091
2542 1.93015
2552 1.93431
2562 1.94161
2572 1.9562
2582 1.93407
2592 1.90764
2602 1.91003
2612 1.88153
2622 1.925
2632 1.81126
2642 1.96429
2652 1.94737
2662 1.97865
2672 1.97895
2682 1.97887
2692 1.95833
2702 1.94138
2712 1.72477
2722 1.91126
2732 1.88591
2742 1.94237
2752 1.75287
2762 1.8815
2772 1.92157
2782 1.93421
2792 1.95395
2802 1.92763
2812 1.90584
2822 2.05281
2832 1.9702
2842 2.11037
2852 1.91205
2862 1.96053
2872 1.96393
2882 1.75882
2892 1.95833
2902 2.00313
2912 1.96463
2922 1.90854
2932 1.93808
2942 1.96238
2952 1.95541
2962 1.91818
2972 1.94953
2982 2.0694
2992 1.95597
3002 2.04984
3012 1.91077
3022 1.96262
3032 1.89489
3042 2.00595
3052 1.94785
3062 1.91233
3072 2.00882
3082 1.95166
3092 1.95152
3102 1.96657
3112 1.92492
3122 2
3132 1.97297
3142 1.9517
3152 1.90341
3162 1.90751
3172 1.77005
3182 1.94721
3192 1.92711
3202 1.96784
3212 1.96821
3222 1.94798
3232 2
3242 1.95389
3252 2.03683
3262 1.95977
3272 1.87332
3282 1.97151
3292 2.06215
3302 1.9548
3312 1.93557
3322 1.95787
3332 1.92179
3342 1.79634
3352 1.93889
3362 5.18538
3372 2.11141
3382 1.93225
3392 1.83374
3402 1.88101
3412 1.88714
3422 1.96809
3432 1.93514
3442 1.83463
3452 1.95455
3462 1.81141
3472 1.9729
3482 1.98182
3492 1.90026
3502 1.89005
3512 1.91864
3522 1.90862
3532 1.96915
3542 1.95789
3552 1.85022
3562 1.89474
3572 1.97889
3582 1.94459
3592 1.96073
3602 1.9156
3612 1.92308
3622 1.96154
3632 1.95897
3642 1.96392
3652 1.89901
3662 1.7814
3672 1.90594
3682 1.95939
3692 1.93655
3702 2.03553
3712 1.99745
3722 1.9037
3732 1.9575
3742 1.97733
3752 1.93284
3762 1.95761
3772 1.96766
3782 1.91667
3792 1.93643
3802 2.02683
3812 1.92995
3822 1.97537
3832 1.97778
3842 1.95792
3852 1.92124
3862 1.93431
3872 1.98058
3882 1.9686
3892 1.93961
3902 1.98554
3912 1.96429
3922 1.94563
3932 1.81481
3942 2.07783
3952 1.94824
3962 2.66228
3972 1.92874
3982 1.93662
3992 1.94639
4002 1.95338
4012 1.95804
4022 1.94353
4032 1.90596
4042 1.94688
4052 1.93793
4062 1.99538
4072 1.93679
4082 1.90444
4092 1.82505
4102 1.90766
4112 1.95455
4122 1.959
4132 1.93622
4142 1.98861
4152 1.98186
4162 1.95964
4172 2.0426
4182 1.95759
4192 1.95333
4202 1.96421
4212 1.94923
4222 1.96889
4232 1.9413
4242 1.94989
4252 1.96499
4262 2.00216
4272 1.99781
4282 1.88235
4292 1.93777
4302 1.95248
4312 1.92766
4322 1.95022
4332 1.82294
4342 2.00647
4352 1.93763
4362 1.97877
4372 1.91543
4382 1.85253
4392 1.94304
4402 1.96588
4412 1.95966
4422 1.95417
4432 1.97886
4442 1.89178
4452 1.94515
4462 1.97684
4472 1.9413
4482 1.96653
4492 1.93033
4502 1.96466
4512 1.95052
4522 1.96319
4532 1.94656
4542 2.00988
4552 2.11111
4562 1.81406
4572 1.96982
4582 1.95181
4592 2.02236
4602 1.95363
4612 2.00595
4622 2.05859
4632 1.95229
4642 1.97791
4652 1.93905
4662 1.90388
4672 1.97905
4682 1.82332
4692 1.94882
4702 1.97804
4712 1.97416
4722 1.97633
4732 1.96875
4742 1.9881
4752 2.04331
4762 2.55939
4772 1.85587
4782 1.89397
4792 2.68852
4802 2.2468
4812 2.00193
4822 1.97303
4832 1.99419
4842 1.98646
4852 2.06602
4862 2.08155
4872 1.86957
4882 1.99035
4892 1.95402
4902 1.91353
4912 2.05838
4922 1.96015
4932 1.94518
4942 1.98667
4952 1.96571
4962 1.95085
4972 1.97732
4982 1.94549
4992 2.0434
5002 2.04972
5012 1.97955
5022 1.94796
5032 2.16266
5042 1.92727
5052 1.93852
5062 1.96507
5072 1.97711
5082 1.97326
5092 2.03448
5102 1.81481
5112 1.99267
5122 2.07246
5132 1.94614
5142 1.98039
5152 2.0188
5162 1.95504
5172 1.96942
5182 2.05946
