n time1 time2
2 0.000004 0.000000
12 0.000001 0.000000
22 0.000001 0.000001
32 0.000001 0.000001
42 0.000001 0.000002
52 0.000001 0.000002
62 0.000001 0.000002
72 0.000002 0.000002
82 0.000002 0.000003
92 0.000002 0.000003
102 0.000002 0.000003
112 0.000002 0.000003
122 0.000002 0.000004
132 0.000003 0.000004
142 0.000003 0.000006
152 0.000003 0.000005
162 0.000003 0.000005
172 0.000003 0.000005
182 0.000008 0.000014
192 0.000003 0.000004
202 0.000003 0.000005
212 0.000003 0.000004
222 0.000003 0.000005
232 0.000004 0.000006
242 0.000004 0.000006
252 0.000005 0.000007
262 0.000005 0.000007
272 0.000005 0.000007
282 0.000004 0.000007
292 0.000004 0.000006
302 0.000006 0.000009
312 0.000005 0.000008
322 0.000005 0.000008
332 0.000005 0.000007
342 0.000006 0.000009
352 0.000005 0.000008
362 0.000005 0.000008
372 0.000006 0.000010
382 0.000006 0.000010
392 0.000005 0.000008
402 0.000006 0.000011
412 0.000006 0.000011
422 0.000006 0.000011
432 0.000006 0.000011
442 0.000006 0.000010
452 0.000006 0.000010
462 0.000006 0.000011
472 0.000007 0.000012
482 0.000007 0.000012
492 0.000008 0.000012
502 0.000007 0.000012
512 0.000007 0.000012
522 0.000007 0.000012
532 0.000007 0.000011
542 0.000009 0.000014
552 0.000008 0.000014
562 0.000007 0.000012
572 0.000008 0.000013
582 0.000008 0.000014
592 0.000008 0.000014
602 0.000009 0.000014
612 0.000008 0.000014
622 0.000008 0.000014
632 0.000009 0.000016
642 0.000009 0.000015
652 0.000009 0.000015
662 0.000009 0.000016
672 0.000010 0.000016
682 0.000009 0.000016
692 0.000010 0.000017
702 0.000009 0.000017
712 0.000009 0.000016
722 0.000010 0.000018
732 0.000010 0.000017
742 0.000009 0.000016
752 0.000009 0.000018
762 0.000009 0.000017
772 0.000010 0.000018
782 0.000010 0.000017
792 0.000011 0.000019
802 0.000011 0.000019
812 0.000011 0.000020
822 0.000011 0.000019
832 0.000011 0.000019
842 0.000012 0.000022
852 0.000012 0.000021
862 0.000012 0.000021
872 0.000012 0.000021
882 0.000011 0.000020
892 0.000012 0.000021
902 0.000013 0.000022
912 0.000012 0.000020
922 0.000012 0.000021
932 0.000012 0.000022
942 0.000012 0.000021
952 0.000012 0.000029
962 0.000012 0.000021
972 0.000012 0.000021
982 0.000012 0.000021
992 0.000011 0.000021
1002 0.000013 0.000024
1012 0.000012 0.000021
1022 0.000012 0.000023
1032 0.000013 0.000024
1042 0.000013 0.000022
1052 0.000019 0.000023
1062 0.000013 0.000025
1072 0.000013 0.000023
1082 0.000013 0.000024
1092 0.000013 0.000024
1102 0.000014 0.000023
1112 0.000017 0.000028
1122 0.000013 0.000025
1132 0.000014 0.000025
1142 0.000014 0.000024
1152 0.000014 0.000025
1162 0.000014 0.000025
1172 0.000015 0.000027
1182 0.000015 0.000026
1192 0.000015 0.000026
1202 0.000019 0.000029
1212 0.000015 0.000027
1222 0.000014 0.000028
1232 0.000016 0.000028
1242 0.000020 0.000037
1252 0.000016 0.000028
1262 0.000017 0.000039
1272 0.000018 0.000030
1282 0.000016 0.000032
1292 0.000015 0.000031
1302 0.000016 0.000030
1312 0.000016 0.000029
1322 0.000016 0.000030
1332 0.000015 0.000029
1342 0.000016 0.000030
1352 0.000015 0.000029
1362 0.000015 0.000029
1372 0.000017 0.000029
1382 0.000015 0.000029
1392 0.000016 0.000030
1402 0.000016 0.000029
1412 0.000015 0.000030
1422 0.000015 0.000029
1432 0.000017 0.000031
1442 0.000016 0.000030
1452 0.000017 0.000030
1462 0.000017 0.000031
1472 0.000017 0.000031
1482 0.000016 0.000031
1492 0.000016 0.000031
1502 0.000016 0.000031
1512 0.000016 0.000031
1522 0.000017 0.000032
1532 0.000017 0.000032
1542 0.000018 0.000035
1552 0.000018 0.000033
1562 0.000017 0.000032
1572 0.000019 0.000036
1582 0.000019 0.000034
1592 0.000020 0.000036
1602 0.000019 0.000034
1612 0.000018 0.000036
1622 0.000018 0.000036
1632 0.000020 0.000036
1642 0.000019 0.000036
1652 0.000018 0.000035
1662 0.000019 0.000036
1672 0.000019 0.000035
1682 0.000019 0.000036
1692 0.000018 0.000036
1702 0.000019 0.000036
1712 0.000019 0.000036
1722 0.000018 0.000036
1732 0.000019 0.000036
1742 0.000019 0.000037
1752 0.000020 0.000038
1762 0.000020 0.000038
1772 0.000020 0.000037
1782 0.000020 0.000037
1792 0.000021 0.000038
1802 0.000020 0.000039
1812 0.000020 0.000039
1822 0.000028 0.000050
1832 0.000021 0.000039
1842 0.000021 0.000038
1852 0.000021 0.000039
1862 0.000020 0.000039
1872 0.000021 0.000040
1882 0.000021 0.000040
1892 0.000021 0.000040
1902 0.000021 0.000040
1912 0.000021 0.000040
1922 0.000021 0.000041
1932 0.000021 0.000041
1942 0.000025 0.000044
1952 0.000022 0.000042
1962 0.000022 0.000041
1972 0.000022 0.000041
1982 0.000022 0.000041
1992 0.000022 0.000042
2002 0.000022 0.000042
2012 0.000029 0.000050
2022 0.000022 0.000043
2032 0.000023 0.000043
2042 0.000023 0.000043
2052 0.000023 0.000046
2062 0.000022 0.000043
2072 0.000022 0.000044
2082 0.000022 0.000044
2092 0.000023 0.000044
2102 0.000022 0.000044
2112 0.000027 0.000048
2122 0.000031 0.000048
2132 0.000025 0.000046
2142 0.000023 0.000045
2152 0.000023 0.000045
2162 0.000023 0.000048
2172 0.000024 0.000045
2182 0.000023 0.000046
2192 0.000023 0.000050
2202 0.000056 0.000053
2212 0.000028 0.000050
2222 0.000027 0.000047
2232 0.000025 0.000047
2242 0.000024 0.000047
2252 0.000024 0.000048
2262 0.000024 0.000048
2272 0.000025 0.000047
2282 0.000024 0.000047
2292 0.000031 0.000048
2302 0.000065 0.000116
2312 0.000026 0.000049
2322 0.000026 0.000048
2332 0.000025 0.000048
2342 0.000025 0.000049
2352 0.000025 0.000049
2362 0.000026 0.000049
2372 0.000025 0.000052
2382 0.000026 0.000051
2392 0.000026 0.000050
2402 0.000027 0.000051
2412 0.000039 0.000051
2422 0.000026 0.000051
2432 0.000028 0.000053
2442 0.000027 0.000051
2452 0.000027 0.000055
2462 0.000027 0.000052
2472 0.000029 0.000055
2482 0.000031 0.000056
2492 0.000029 0.000052
2502 0.000028 0.000053
2512 0.000027 0.000052
2522 0.000027 0.000053
2532 0.000028 0.000057
2542 0.000027 0.000053
2552 0.000028 0.000053
2562 0.000028 0.000054
2572 0.000038 0.000058
2582 0.000028 0.000054
2592 0.000031 0.000056
2602 0.000033 0.000059
2612 0.000033 0.000059
2622 0.000030 0.000057
2632 0.000029 0.000056
2642 0.000032 0.000058
2652 0.000032 0.000059
2662 0.000031 0.000067
2672 0.000029 0.000057
2682 0.000029 0.000056
2692 0.000029 0.000057
2702 0.000029 0.000057
2712 0.000031 0.000057
2722 0.000031 0.000058
2732 0.000037 0.000064
2742 0.000036 0.000061
2752 0.000032 0.000059
2762 0.000033 0.000065
2772 0.000031 0.000063
2782 0.000030 0.000059
2792 0.000035 0.000062
2802 0.000035 0.000063
2812 0.000035 0.000062
2822 0.000031 0.000060
2832 0.000030 0.000060
2842 0.000030 0.000060
2852 0.000031 0.000060
2862 0.000030 0.000060
2872 0.000030 0.000060
2882 0.000031 0.000060
2892 0.000031 0.000061
2902 0.000031 0.000061
2912 0.000031 0.000062
2922 0.000032 0.000061
2932 0.000032 0.000061
2942 0.000031 0.000061
2952 0.000031 0.000061
2962 0.000032 0.000062
2972 0.000032 0.000066
2982 0.000037 0.000066
2992 0.000033 0.000064
3002 0.000032 0.000067
3012 0.000032 0.000068
3022 0.000032 0.000063
3032 0.000036 0.000068
3042 0.000036 0.000071
3052 0.000034 0.000070
3062 0.000032 0.000064
3072 0.000080 0.000152
3082 0.000035 0.000067
3092 0.000034 0.000066
3102 0.000033 0.000070
3112 0.000033 0.000065
3122 0.000033 0.000066
3132 0.000033 0.000066
3142 0.000034 0.000066
3152 0.000120 0.000284
3162 0.000034 0.000066
3172 0.000034 0.000066
3182 0.000034 0.000066
3192 0.000034 0.000066
3202 0.000034 0.000067
3212 0.000034 0.000068
3222 0.000035 0.000068
3232 0.000035 0.000068
3242 0.000035 0.000067
3252 0.000036 0.000068
3262 0.000035 0.000068
3272 0.000035 0.000068
3282 0.000035 0.000069
3292 0.000035 0.000069
3302 0.000035 0.000069
3312 0.000035 0.000069
3322 0.000036 0.000072
3332 0.000084 0.000170
3342 0.000036 0.000070
3352 0.000041 0.000075
3362 0.000037 0.000072
3372 0.000037 0.000074
3382 0.000037 0.000072
3392 0.000037 0.000072
3402 0.000037 0.000071
3412 0.000037 0.000072
3422 0.000037 0.000071
3432 0.000037 0.000071
3442 0.000038 0.000077
3452 0.000038 0.000073
3462 0.000037 0.000073
3472 0.000038 0.000075
3482 0.000042 0.000075
3492 0.000041 0.000073
3502 0.000038 0.000073
3512 0.000038 0.000073
3522 0.000038 0.000073
3532 0.000041 0.000075
3542 0.000044 0.000079
3552 0.000039 0.000078
3562 0.000038 0.000075
3572 0.000038 0.000075
3582 0.000038 0.000078
3592 0.000038 0.000076
3602 0.000041 0.000077
3612 0.000044 0.000080
3622 0.000042 0.000077
3632 0.000039 0.000077
3642 0.000043 0.000081
3652 0.000041 0.000080
3662 0.000039 0.000077
3672 0.000039 0.000076
3682 0.000039 0.000077
3692 0.000042 0.000077
3702 0.000045 0.000082
3712 0.000039 0.000078
3722 0.000041 0.000080
3732 0.000040 0.000079
